GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MultiJSnake,me.schawe.multijsnake.util,IdGenerator,3,40,0,8,1,8,1,6,1,2
MultiJSnake,me.schawe.multijsnake.frontend,WebSecurityConfig,26,120,0,0,5,22,3,7,3,7
MultiJSnake,me.schawe.multijsnake.frontend,SingleSiteAppController,0,5,0,0,0,2,0,2,0,2
MultiJSnake,me.schawe.multijsnake.frontend,ExceptionAdvice,12,3,0,0,2,1,2,1,2,1
MultiJSnake,me.schawe.multijsnake.gamemanagement.player,PlayerInfo,0,43,0,0,0,3,0,7,0,7
MultiJSnake,me.schawe.multijsnake.gamemanagement.player,PlayerInfoForClient,0,33,0,0,0,10,0,5,0,5
MultiJSnake,me.schawe.multijsnake.gamemanagement.player,PlayerId,2,34,2,4,0,6,2,5,0,4
MultiJSnake,me.schawe.multijsnake.highscore,NewHighscoreEventListener,26,27,1,3,6,9,1,4,0,3
MultiJSnake,me.schawe.multijsnake.highscore,Highscore,40,3,0,0,11,2,6,1,6,1
MultiJSnake,me.schawe.multijsnake.gamemanagement.websocket,WebSocketEventListener,0,37,0,0,0,11,0,3,0,3
MultiJSnake,me.schawe.multijsnake.gamemanagement.websocket,WebSocketService,0,68,0,0,0,23,0,6,0,6
MultiJSnake,me.schawe.multijsnake.gamemanagement.websocket,WebSocketConfiguration,0,62,0,0,0,7,0,3,0,3
MultiJSnake,me.schawe.multijsnake,MultiJSnakeApplication,0,8,0,0,0,3,0,2,0,2
MultiJSnake,me.schawe.multijsnake.snake,Geometry,7,41,1,4,1,7,2,4,1,1
MultiJSnake,me.schawe.multijsnake.snake,Move,21,171,5,41,1,41,5,34,0,10
MultiJSnake,me.schawe.multijsnake.snake,MoveRelative,4,34,1,3,0,8,1,4,0,2
MultiJSnake,me.schawe.multijsnake.snake,SnakeDiesEvent,0,16,0,0,0,6,0,3,0,3
MultiJSnake,me.schawe.multijsnake.snake,GameState,6,751,3,57,2,163,3,71,0,44
MultiJSnake,me.schawe.multijsnake.snake,TrainingState,14,409,8,27,3,63,8,18,0,6
MultiJSnake,me.schawe.multijsnake.snake,Coordinate,10,80,3,7,1,13,4,9,1,7
MultiJSnake,me.schawe.multijsnake.snake,SnakeId,4,64,3,7,0,12,3,8,0,6
MultiJSnake,me.schawe.multijsnake.snake,Snake,27,225,2,10,7,63,6,29,4,25
